main_product_id,main_product_name,related_product_id,co_visit_count,co_collect_count,co_pay_count
P117,美妆_商品117,P206,1,0,0
P117,美妆_商品117,P239,1,0,0
P141,男装_商品141,P131,1,0,0
P141,男装_商品141,P125,1,0,0
P144,美妆_商品144,P209,1,1,1
P144,美妆_商品144,P235,1,0,1
P144,美妆_商品144,P136,1,0,0
P144,美妆_商品144,P237,1,0,0
P217,数码_商品217,P328,1,0,1
P258,女装_商品258,P120,1,0,0
P293,女装_商品293,P230,1,0,1
P293,女装_商品293,P298,1,0,0
P309,男装_商品309,P276,1,1,0
P259,女装_商品259,P298,1,0,0
P259,女装_商品259,P243,1,0,0
P309,男装_商品309,P252,1,0,0
P336,数码_商品336,P113,1,1,0
P344,美妆_商品344,P286,1,0,0
P344,美妆_商品344,P116,1,0,0